[INFO ] 2024-11-04 12:28:37.204 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@7ed11bd4)
[INFO ] 2024-11-04 12:28:37.245 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:08.434 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:08.434 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:08.884 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@143e8b28)
[INFO ] 2024-11-04 12:29:08.943 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:08.944 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:09.443 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:09.446 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@6307358f)
[INFO ] 2024-11-04 12:29:09.446 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:09.446 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:09.446 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:09.448 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@39b7f01c)
[INFO ] 2024-11-04 12:29:09.448 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:09.449 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:09.449 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:09.451 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@12904526)
[INFO ] 2024-11-04 12:29:09.451 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:09.452 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:09.452 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:09.454 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@7217eb97)
[INFO ] 2024-11-04 12:29:09.455 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:29:09.455 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:29:09.455 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:29:39.472 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@2e573117)
[INFO ] 2024-11-04 12:29:39.472 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.485 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.485 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:10.489 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3e7ef88e)
[INFO ] 2024-11-04 12:30:10.490 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.490 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.490 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:10.493 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@7378f785)
[INFO ] 2024-11-04 12:30:10.493 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.494 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.494 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:10.497 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@6b9ebc56)
[INFO ] 2024-11-04 12:30:10.498 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.498 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.498 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:10.502 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@7cd6f7bb)
[INFO ] 2024-11-04 12:30:10.502 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.503 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.503 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:10.507 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3525ca27)
[INFO ] 2024-11-04 12:30:10.508 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:30:10.509 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:30:10.509 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:30:40.544 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@1fb7a7b9)
[INFO ] 2024-11-04 12:30:40.544 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.698 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.698 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:14.702 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@5417e0db)
[INFO ] 2024-11-04 12:31:14.702 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.703 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.703 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:14.706 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@4f787c8c)
[INFO ] 2024-11-04 12:31:14.707 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.707 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.708 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:14.713 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@60bc11a5)
[INFO ] 2024-11-04 12:31:14.713 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.714 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.714 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:14.718 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@4294f864)
[INFO ] 2024-11-04 12:31:14.719 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.719 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.720 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:14.722 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@29eec9d5)
[INFO ] 2024-11-04 12:31:14.723 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:31:14.723 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:31:14.723 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:31:44.756 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@25cf404b)
[INFO ] 2024-11-04 12:31:44.756 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.939 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.939 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:18.944 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@40fdcb4e)
[INFO ] 2024-11-04 12:32:18.945 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.945 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.946 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:18.950 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@1f8202e5)
[INFO ] 2024-11-04 12:32:18.950 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.951 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.951 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:18.955 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@484810f1)
[INFO ] 2024-11-04 12:32:18.956 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.956 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.956 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:18.961 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@17dadcab)
[INFO ] 2024-11-04 12:32:18.962 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.963 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.963 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:18.966 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@39d3d2a5)
[INFO ] 2024-11-04 12:32:18.967 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:32:18.967 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:32:18.968 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:32:49.185 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@3e8e2be0)
[INFO ] 2024-11-04 12:32:49.185 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:33:23.275 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:33:23.276 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:33:23.280 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@7ff0971e)
[INFO ] 2024-11-04 12:33:23.280 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:33:23.280 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 12:33:23.280 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 12:33:23.284 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@581124bf)
[INFO ] 2024-11-04 12:33:23.284 [reactor-http-nio-3] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 12:33:23.285 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
